"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Частичное обновление данных бронирования","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Успешное создание бронирования","0"
"0","Тестирование REST API сервиса Restful-Booker","6","Валидация полей бэкенда","0","0","Автоматическое полейное негативное тестирование (DDT)","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Получение списка бронирований по фильтрам","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Получение конкретного бронирования по ID","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Удаление бронирования","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Доступность сервиса (Health Check)","1","0","Проверка работоспособности API","0"
"0","Тестирование REST API сервиса Restful-Booker","1","Валидация бизнес-логики","0","0","Отклонение бронирования со сквозными датами (checkout раньше checkin)","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Полное обновление данных бронирования","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Безопасность и авторизация","1","0","Отклонение запроса на обновление без токена","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Управление бронированиями (CRUD)","1","0","Получение полного списка ID бронирований","0"
"0","Тестирование REST API сервиса Restful-Booker","0","Безопасность и авторизация","1","0","Отклонение запроса на удаление без токена","0"
